2.892802	-0.853627	0.018659	-0.1719780
4.409161	-0.754236	0.013188	0.0869063
5.379836	-1.746269	0.029916	-0.0304802
6.73028	-1.370515	0.020853	0.0714017
7.09021	-0.019871	-0.004485	-0.0265713
6.120331	0.989024	-0.022016	0.0601460
4.786149	0.591092	-0.013211	-0.0782916
3.618484	1.388714	-0.027653	0.0643066
2.494837	0.631345	-0.008528	0.1620055
1.224282	1.209831	-0.00845	-0.0193889
-0.000001	0.536571	-0.000032	0.0001669
-1.224289	1.209833	0.00843	0.0191684
-2.494836	0.631342	0.008537	-0.1609899
-2.892803	-0.853627	-0.018693	0.1700875
-4.409163	-0.754235	-0.013162	-0.0882253
-5.379838	-1.746267	-0.029858	0.0307404
-6.730283	-1.370515	-0.020766	-0.0713303
-7.090211	-0.01987	0.004571	0.0270651
-6.120331	0.989024	0.022064	-0.0621963
-4.786148	0.591095	0.013234	0.0814929
-3.618489	1.388716	0.027631	-0.0656405
-3.626423	2.848407	0.057744	0.0150488
-3.094108	3.210317	0.941765	-0.0219177
-4.654259	3.201896	0.099134	-0.0129304
-3.150832	3.249261	-0.842019	-0.0222516
-6.415808	2.032123	0.040831	-0.0023056
-8.139867	0.258346	0.010813	-0.0115644
-7.501587	-2.13455	-0.033868	-0.0056314
-5.103893	-2.796935	-0.049966	-0.0133323
-2.400939	-1.604417	1.242666	-0.0434160
-1.311018	-1.681111	1.271361	-0.0013202
-2.734909	-1.101438	2.155062	0.0009150
-2.809259	-2.619942	1.241603	-0.0113687
-2.406171	-1.549886	-1.312965	-0.0456709
-2.751614	-1.013181	-2.201596	0.0015306
-1.315772	-1.614831	-1.353385	-0.0011437
-2.806331	-2.567902	-1.349683	-0.0104783
-1.175954	2.294779	0.014527	-0.0140452
-0.000005	-0.545643	-0.000047	-0.0001377
1.175946	2.294777	-0.014525	0.0141033
3.626436	2.848407	-0.057728	-0.0157274
3.093915	3.210345	-0.94161	0.0221830
4.654269	3.201876	-0.09938	0.0130980
3.151075	3.24925	0.842163	0.0224274
6.415811	2.032122	-0.040765	0.0028360
8.139867	0.258343	-0.010702	0.0115322
7.501585	-2.13455	0.033975	0.0055209
5.103892	-2.796936	0.050022	0.0134771
2.400975	-1.604348	-1.242763	0.0473747
1.311053	-1.681013	-1.271503	0.0003944
2.734993	-1.101328	-2.155119	-0.0019446
2.809273	-2.619883	-1.241737	0.0104743
2.406134	-1.549957	1.312871	0.0442686
1.315735	-1.614928	1.353252	0.0018244
2.806312	-2.567968	1.349545	0.0107865
2.751535	-1.013296	2.201546	-0.0010041
